,name_id,name
712,nm1050098,Joachim Lafosse
713,nm0111369,Jacek Bromski
714,nm1406806,Robert Heydon
715,nm0854976,Daisuke Tengan
716,nm4261164,John Real
717,nm1680442,Jae-geun Yoon
718,nm0675387,Jean-Luc Perréard
719,nm0443592,Stéphane Kazandjian
720,nm3376649,Krissanapong Rachata
721,nm0690931,Yuen-Leung Poon
722,nm0948596,Sang-Hyo Yook
723,nm4314379,Leonardo Wild
724,nm1949943,Will Canon
725,nm4325835,Igor Korobeynikov
726,nm4326250,Bogdan Drobyazko
727,nm0684992,Turk Pipkin
728,nm2079185,Ilksen Basarir
729,nm0156906,Marco Mak
730,nm1390562,T.J. Martin
731,nm2265756,Øystein Stene
732,nm2489801,Michael Beyer
733,nm0946995,Patrick Kong
734,nm3442103,Chakri Toleti
735,nm3189793,Alexandros Avranas
736,nm1068020,Sheldon Candis
737,nm3543074,Nenad Cicin-Sain
738,nm10623864,Dan Wechsler
739,nm2382702,Reynir Lyngdal
740,nm2816740,Jacqueline Farmer
741,nm0939147,Jing Wong
742,nm0408583,Tobias Ineichen
743,nm1211137,Isabel de Ocampo
744,nm0336695,James Gray
745,nm1490101,Søren Balle
746,nm0944937,Shinobu Yaguchi
747,nm3789488,Sang-yeol Baek
748,nm4813513,Maciej Bochniak
749,nm2254150,Adrián Biniez
750,nm2555107,Vivienne De Courcy
751,nm0296829,Serge Frydman
752,nm0863674,Johan Timmers
753,nm5744866,Jerry Ching
754,nm3743617,Philippe Lacheau
755,nm0435091,Kenneth Kainz
756,nm1046044,Gary Wing-Lun Mak
757,nm3452130,Jose Antonio Vargas
758,nm3212646,Fernando Alle
759,nm0586281,Takashi Miike
760,nm0840443,Virpi Suutari
761,nm0745131,Marc Rothemund
762,nm4598626,Luke Korem
763,nm4055347,Arkin Aktaç
764,nm0954099,Dejan Zecevic
765,nm1031708,Mikkel Nørgaard
766,nm5901825,Seung-Ho Choi
767,nm2488601,Stefan Nieuwoudt
768,nm0950841,Chatrichalerm Yukol
769,nm0200370,Bengt Danneborn
770,nm5984652,Kathryn Bertine
771,nm0442905,Naomi Kawase
772,nm2619779,Hafsteinn Gunnar Sigurðsson
773,nm2133655,Chris Sparling
774,nm0025016,Shirel Amitay
775,nm1287593,Ladislav Kabos
776,nm0832770,David Stoten
777,nm1768412,Mark Linfield
778,nm0000229,Steven Spielberg
779,nm0576554,Hansal Mehta
780,nm0920492,Nina Wels
781,nm0493819,Judah Lazarus
782,nm0021899,Michael Almereyda
783,nm1125812,Ali Engin
784,nm0428600,Kirk Jones
785,nm0850307,Juan Taratuto
786,nm0038295,Yûzô Asahara
787,nm2435980,Chimbudeven
788,nm1193005,Sung-ho Kim
789,nm2374368,Owen Gower
790,nm0379872,Antonio Hernández
791,nm4706945,Caner Erzincan
792,nm0584630,Vladimír Michálek
793,nm1670246,Jon Karthaus
794,nm0182703,Midge Costin
795,nm1391054,Francesco Patierno
796,nm0888281,Lenny Van Wesemael
797,nm0407990,Kwon-taek Im
798,nm6672247,Aleksandr Boykov
799,nm4139472,Afonso Poyart
800,nm1327703,Yoshihiro Nakamura
801,nm0453518,Jee-woon Kim
